Distribuidora;Conjunto;Municipio;Estado;MUNICÍPIO_R;Endereco;LAT_SUB;LONG_SUB
ELETROPAULO;RAPOSO TAVARES;COTIA;SP;COTIA;ELETROPAULO SUBESTACAO RAPOSO TAVARES;-23,6317219;-46,9166041
ELETROPAULO;ROSELANDIA;COTIA;SP;COTIA;ELETROPAULO SUBESTACAO ROSELANDIA;-23,572768;-46,930566
CPFL- PIRATININGA;INDAIATUBA;INDAIATUBA;SP;INDAIATUBA;CPFL- PIRATININGA SUBESTACAO INDAIATUBA;-23,0931158;-47,1954877
CPFL- PIRATININGA;INDAIATUBA 2 - MORADA DO SOL;INDAIATUBA;SP;INDAIATUBA;CPFL- PIRATININGA SUBESTACAO INDAIATUBA 2 - MORADA DO SOL;-23,1216393;-47,2524113
CPFL- PIRATININGA;INDAIATUBA 3 - SANTOS DUMONT;INDAIATUBA;SP;INDAIATUBA;CPFL- PIRATININGA SUBESTACAO INDAIATUBA 3 - SANTOS DUMONT;-23,1444293;-47,2386001
CELESC-DIS;ROCADO;SAO JOSE;SC;SAO JOSE;CELESC-DIS SUBESTACAO ROCADO;-27,5866521;-48,618078
CELESC-DIS;SAO JOSE DO SERTAO;SAO JOSE;SC;SAO JOSE;CELESC-DIS SUBESTACAO SAO JOSE DO SERTAO;-27,5557636;-48,6411952
CPFL-PAULISTA;AMERICANA 1;AMERICANA;SP;AMERICANA;CPFL-PAULISTA SUBESTACAO AMERICANA 1;-22,7403329;-47,354394
CPFL-PAULISTA;AMERICANA 2-CAMPO VERDE;AMERICANA;SP;AMERICANA;CPFL-PAULISTA SUBESTACAO AMERICANA 2-CAMPO VERDE;-22,7215446;-47,3201972
CPFL-PAULISTA;AMERICANA 4-JARDIM;AMERICANA;SP;AMERICANA;CPFL-PAULISTA SUBESTACAO AMERICANA 4-JARDIM;-22,7403329;-47,354394
CPFL-PAULISTA;AMERICANA 5-IPE;AMERICANA;SP;AMERICANA;CPFL-PAULISTA SUBESTACAO AMERICANA 5-IPE;-22,7403329;-47,354394
RGE SUL;SAO LEOPOLDO;SAO LEOPOLDO;RS;SAO LEOPOLDO;RGE SUL SUBESTACAO SAO LEOPOLDO;-29,786782;-51,1164798
RGE SUL;SCHARLAU;SAO LEOPOLDO;RS;SAO LEOPOLDO;RGE SUL SUBESTACAO SCHARLAU;-29,718678;-51,148657
RGE SUL;ZOOLOGICO;SAO LEOPOLDO;RS;SAO LEOPOLDO;RGE SUL SUBESTACAO ZOOLOGICO;-29,7859054;-51,1634906
ENEL RJ;ITAMBI;ITABORAI;RJ;ITABORAI;ENEL RJ SUBESTACAO ITAMBI;-22,6716364;-42,7738339
ENEL RJ;VENDA DAS PEDRAS;ITABORAI;RJ;ITABORAI;ENEL RJ SUBESTACAO VENDA DAS PEDRAS;-22,8569777;-43,0824845
CEMIG-D;SETE LAGOAS 1;SETE LAGOAS;MG;SETE LAGOAS;CEMIG-D SUBESTACAO SETE LAGOAS 1;-19,4421702;-44,2441868
CEMIG-D;SETE LAGOAS 2;SETE LAGOAS;MG;SETE LAGOAS;CEMIG-D SUBESTACAO SETE LAGOAS 2;-19,4741351;-44,2131995
CEMIG-D;SETE LAGOAS 3;SETE LAGOAS;MG;SETE LAGOAS;CEMIG-D SUBESTACAO SETE LAGOAS 3;-19,4741351;-44,2131995
ELETROPAULO;ITAPEVI;ITAPEVI;SP;ITAPEVI;ELETROPAULO SUBESTACAO ITAPEVI;-23,5449638;-46,9603843
CEMIG-D;ARACAGI;DIVINOPOLIS;MG;DIVINOPOLIS;CEMIG-D SUBESTACAO ARACAGI;-20,1228474;-44,9295499
CEMIG-D;DIVINOPOLIS 1;DIVINOPOLIS;MG;DIVINOPOLIS;CEMIG-D SUBESTACAO DIVINOPOLIS 1;-20,1228474;-44,9295499
CEMIG-D;DIVINOPOLIS 2;DIVINOPOLIS;MG;DIVINOPOLIS;CEMIG-D SUBESTACAO DIVINOPOLIS 2;-20,1228474;-44,9295499
CEMIG-D;UH GAFANHOTO;DIVINOPOLIS;MG;DIVINOPOLIS;CEMIG-D SUBESTACAO UH GAFANHOTO;-20,0998762;-44,8493778
COPEL-DIS;COLOMBO;COLOMBO;PR;COLOMBO;COPEL-DIS SUBESTACAO COLOMBO;-25,3549356;-49,1795971
COPEL-DIS;GUARAITUBA;COLOMBO;PR;COLOMBO;COPEL-DIS SUBESTACAO GUARAITUBA;-25,3457935;-49,1915373
EDP SP;INDEPENDENCIA;JACAREI;SP;JACAREI;EDP SP SUBESTACAO INDEPENDENCIA;-23,3114679;-45,9934349
EDP SP;JACAREI;JACAREI;SP;JACAREI;EDP SP SUBESTACAO JACAREI;-23,3034114;-45,9645021
ENEL RJ;AUGUSTO VIEIRA;MAGE;RJ;MAGE;ENEL RJ SUBESTACAO AUGUSTO VIEIRA;-22,6596017;-43,0464093
CPFL-PAULISTA;MARILIA 1;MARILIA;SP;MARILIA;CPFL-PAULISTA SUBESTACAO MARILIA 1;-22,2197959;-49,9402424
CPFL-PAULISTA;MARILIA 2-ITAMBE;MARILIA;SP;MARILIA;CPFL-PAULISTA SUBESTACAO MARILIA 2-ITAMBE;-22,2197959;-49,9402424
CPFL-PAULISTA;ARARAQUARA 1;ARARAQUARA;SP;ARARAQUARA;CPFL-PAULISTA SUBESTACAO ARARAQUARA 1;-21,7887713;-48,1825252
CPFL-PAULISTA;ARARAQUARA 2-UIRAPURU;ARARAQUARA;SP;ARARAQUARA;CPFL-PAULISTA SUBESTACAO ARARAQUARA 2-UIRAPURU;-21,7585724;-48,1600969
CPFL-PAULISTA;ARARAQUARA 3-PAIOL;ARARAQUARA;SP;ARARAQUARA;CPFL-PAULISTA SUBESTACAO ARARAQUARA 3-PAIOL;-21,7863825;-48,2088244
ENEL CE;BOM JARDIM;MARACANAU;CE;MARACANAU;ENEL CE SUBESTACAO BOM JARDIM;-3,865335;-38,6001386
ENEL CE;DISTRITO INDUSTRIAL II;MARACANAU;CE;MARACANAU;ENEL CE SUBESTACAO DISTRITO INDUSTRIAL II;-3,865335;-38,6001386
ESS;ENEIDA;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO ENEIDA;-22,1320507;-51,3727232
ESS;PRESIDENTE PRUDENTE 1;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO PRESIDENTE PRUDENTE 1;-22,1588296;-51,3957802
ESS;PRESIDENTE PRUDENTE 2;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO PRESIDENTE PRUDENTE 2;-22,1227946;-51,3857048
ESS;PRESIDENTE PRUDENTE 3;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO PRESIDENTE PRUDENTE 3;-22,1588296;-51,3957802
ESS;PRESIDENTE PRUDENTE 4;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO PRESIDENTE PRUDENTE 4;-22,1320507;-51,3727232
ESS;PRESIDENTE PRUDENTE 5;PRESIDENTE PRUDENTE;SP;PRESIDENTE PRUDENTE;ESS SUBESTACAO PRESIDENTE PRUDENTE 5;-22,1588296;-51,3957802
CPFL-PAULISTA;HORTOLANDIA 1;HORTOLANDIA;SP;HORTOLANDIA;CPFL-PAULISTA SUBESTACAO HORTOLANDIA 1;-22,8914685;-47,1921396
CPFL-PAULISTA;HORTOLANDIA 2-MORRO AZUL;HORTOLANDIA;SP;HORTOLANDIA;CPFL-PAULISTA SUBESTACAO HORTOLANDIA 2-MORRO AZUL;-22,8910376;-47,1914551
CEMIG-D;CI SANTA LUZIA;SANTA LUZIA;MG;SANTA LUZIA;CEMIG-D SUBESTACAO CI SANTA LUZIA;-19,8147411;-43,8849525
CEMIG-D;SANTA LUZIA 1;SANTA LUZIA;MG;SANTA LUZIA;CEMIG-D SUBESTACAO SANTA LUZIA 1;-19,7632579;-43,8407402
CEMIG-D;SANTA LUZIA 2;SANTA LUZIA;MG;SANTA LUZIA;CEMIG-D SUBESTACAO SANTA LUZIA 2;-19,7811087;-43,9166334
CEMIG-D;SANTA LUZIA 4;SANTA LUZIA;MG;SANTA LUZIA;CEMIG-D SUBESTACAO SANTA LUZIA 4;-19,8147411;-43,8849525
EQUATORIAL PA;MUIRAQUITA;SANTAREM;PA;SANTAREM;EQUATORIAL PA SUBESTACAO MUIRAQUITA;-2,6167786;-54,6761441
EQUATORIAL PA;SANTAREM;SANTAREM;PA;SANTAREM;EQUATORIAL PA SUBESTACAO SANTAREM;-2,6167786;-54,6761441
EQUATORIAL PA;TAPAJOS I;SANTAREM;PA;SANTAREM;EQUATORIAL PA SUBESTACAO TAPAJOS I;-2,6167786;-54,6761441
COELBA;ITABUNA;ITABUNA;BA;ITABUNA;COELBA SUBESTACAO ITABUNA;-14,7835197;-39,2782478
